Age,Attrition,DailyRate,DistanceFromHome,Education,EnvironmentSatisfaction,HourlyRate,JobInvolvement,JobLevel,JobSatisfaction,MonthlyIncome,MonthlyRate,NumCompaniesWorked,PercentSalaryHike,PerformanceRating,RelationshipSatisfaction,StockOptionLevel,TotalWorkingYears,TrainingTimesLastYear,WorkLifeBalance,YearsAtCompany,YearsInCurrentRole,YearsSinceLastPromotion,YearsWithCurrManager,BusinessTravel_Travel_Frequently,BusinessTravel_Travel_Rarely,Department_Research & Development,Department_Sales,EducationField_Life Sciences,EducationField_Marketing,EducationField_Medical,EducationField_Other,EducationField_Technical Degree,Gender_Male,JobRole_Human Resources,JobRole_Laboratory Technician,JobRole_Manager,JobRole_Manufacturing Director,JobRole_Research Director,JobRole_Research Scientist,JobRole_Sales Executive,JobRole_Sales Representative,MaritalStatus_Married,MaritalStatus_Single,OverTime_Yes
0.446350404,1,0.742526534,-1.010909343,-0.89168825,-0.660530674,1.383138267,0.379672129,-0.057787545,1.15325359,-0.108349514,0.726019941,2.125135924,-1.150554102,-0.426230015,-1.584178241,-0.932014389,-0.421642458,-2.171981831,-2.493820422,-0.164613109,-0.063295899,-0.679145684,0.245833995,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,TRUE
1.322365214,0,-1.297774602,-0.14714972,-1.868425752,0.254624925,-0.24067677,-1.026166736,-0.057787545,-0.660853181,-0.29171859,1.488876139,-0.678049393,2.129306007,2.346151056,1.191437986,0.241988312,-0.164511401,0.155707081,0.338096164,0.488507728,0.764997621,-0.368715287,0.806541477,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE
0.008342998,1,1.414363238,-0.887515111,-0.89168825,1.169780525,1.284725234,-1.026166736,-0.961486392,0.246200205,-0.937653691,-1.674840861,1.324225833,-0.057267399,-0.426230015,-0.658972832,-0.932014389,-0.550207987,0.155707081,0.338096164,-1.144294365,-1.16768726,-0.679145684,-1.15593471,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
-0.429664407,0,1.461466181,-0.764120879,1.061786754,1.169780525,-0.486709351,0.379672129,-0.961486392,0.246200205,-0.763633675,1.243210584,-0.678049393,-1.150554102,-0.426230015,0.266232577,-0.932014389,-0.421642458,0.155707081,0.338096164,0.16194731,0.764997621,0.252145506,-1.15593471,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE
-1.086675515,0,-0.524294706,-0.887515111,-1.868425752,-1.575686274,-1.274013612,0.379672129,-0.961486392,-0.660853181,-0.644858109,0.325899897,2.525590969,-0.877232426,-0.426230015,1.191437986,0.241988312,-0.678773516,0.155707081,0.338096164,-0.817733947,-0.61549158,-0.058284891,-0.595227228,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
-0.539166258,0,0.502053617,-0.887515111,-0.89168825,1.169780525,0.645040523,0.379672129,-0.961486392,1.15325359,-0.72984957,-0.344199283,-1.078504438,-0.60391075,-0.426230015,0.266232577,-0.932014389,-0.421642458,-0.620189223,-1.077862129,-0.0013329,0.764997621,0.252145506,0.526187736,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
2.417383728,0,1.292887229,-0.764120879,0.085049252,0.254624925,0.743453555,1.785510994,-0.961486392,-1.567906567,-0.814416073,-0.611227061,0.523315743,1.30934098,2.346151056,-1.584178241,2.589993714,0.092619656,0.155707081,-1.077862129,-0.981014156,-1.16768726,-0.679145684,-1.15593471,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE
-0.758169961,0,1.377176705,1.827157989,-1.868425752,1.169780525,0.054562328,0.379672129,-0.961486392,0.246200205,-0.809529064,-0.137463567,-0.678049393,1.855984331,2.346151056,-0.658972832,0.241988312,-1.321601159,-0.620189223,0.338096164,-0.981014156,-1.16768726,-0.679145684,-1.15593471,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
0.11784485,0,-1.453958042,1.703763758,0.085049252,1.169780525,-1.077187547,-1.026166736,0.845911301,0.246200205,0.642337563,-0.776643742,-1.078504438,1.582662656,2.346151056,-0.658972832,-0.932014389,-0.164511401,-0.620189223,0.338096164,0.325227519,0.764997621,-0.368715287,1.086895218,TRUE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
-0.101158853,0,1.230909673,2.197340685,0.085049252,0.254624925,1.383138267,0.379672129,-0.057787545,0.246200205,-0.268983374,0.318170146,1.324225833,-0.60391075,-0.426230015,-0.658972832,1.415991013,0.7354473,0.155707081,-1.077862129,-0.0013329,0.764997621,1.493867092,0.806541477,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
-0.210660704,0,0.01614958,0.840004135,0.085049252,-1.575686274,0.891073104,1.785510994,-0.961486392,-0.660853181,-0.866260864,0.304397134,-1.078504438,-0.60391075,-0.426230015,0.266232577,0.241988312,-0.678773516,1.70749969,0.338096164,-0.327893318,-0.063295899,-0.679145684,-0.314873487,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
-0.867671812,0,-1.610141483,0.716609903,-0.89168825,1.169780525,-0.831154965,-1.026166736,-0.057787545,0.246200205,-0.490811087,-0.229236798,-1.078504438,-0.877232426,-0.426230015,1.191437986,-0.932014389,-0.164511401,0.155707081,0.338096164,0.325227519,0.212801941,-0.679145684,1.086895218,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
-0.64866811,0,-0.32844563,2.073946453,-1.868425752,-1.575686274,-1.716872258,0.379672129,-0.961486392,0.246200205,-0.763208718,0.12042905,-0.678049393,0.489375953,-0.426230015,1.191437986,0.241988312,-0.807339044,-1.396085527,-1.077862129,-0.327893318,-0.61549158,0.562575902,-0.314873487,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
-0.320162556,0,1.347427478,1.21018683,-0.89168825,-0.660530674,1.333931751,0.379672129,-0.961486392,1.15325359,-0.816328381,-0.780719429,-1.078504438,-1.150554102,-0.426230015,0.266232577,0.241988312,-1.064470102,-0.620189223,0.338096164,-0.817733947,-0.61549158,-0.368715287,-0.595227228,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-0.977173664,1,-1.734096594,1.827157989,0.085049252,0.254624925,-0.781948449,-1.026166736,-0.961486392,0.246200205,-0.950827368,-0.19199345,0.923770788,-0.330589074,-0.426230015,-0.658972832,-0.932014389,-0.678773516,0.931603386,0.338096164,-0.491173528,-0.61549158,-0.679145684,-0.314873487,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE
-0.867671812,0,1.454028874,1.456975294,1.061786754,-0.660530674,-0.732741933,1.785510994,0.845911301,-1.567906567,0.738802871,-0.578762105,-0.678049393,-1.150554102,-0.426230015,0.266232577,0.241988312,-0.164511401,-1.396085527,0.338096164,0.488507728,1.317193301,1.804297489,1.086895218,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
-0.539166258,0,-1.161423979,-0.517332416,-0.89168825,-1.575686274,0.694247039,1.785510994,-0.961486392,-0.660853181,-0.68097948,0.10398576,-1.078504438,-0.877232426,-0.426230015,1.191437986,1.415991013,-0.550207987,1.70749969,-1.077862129,-0.164613109,-0.61549158,-0.679145684,0.245833995,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE
-1.634184772,0,0.794587681,0.840004135,-0.89168825,1.169780525,1.481551299,1.785510994,-0.961486392,1.15325359,-0.758109231,-0.982255131,-0.678049393,-0.60391075,-0.426230015,-0.658972832,1.415991013,-1.321601159,-0.620189223,-1.077862129,-0.981014156,-1.16768726,-0.679145684,-1.15593471,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
1.76037262,0,1.032581495,-0.887515111,1.061786754,-1.575686274,0.595834007,-1.026166736,1.749610148,1.15325359,1.896174087,1.083274999,-0.277594348,0.216054277,-0.426230015,0.266232577,-0.932014389,2.535364701,0.155707081,0.338096164,2.937710869,1.041095461,0.252145506,0.806541477,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
0.11784485,0,-1.069697197,-0.887515111,0.085049252,1.169780525,-1.02798103,0.379672129,-0.961486392,1.15325359,-0.543718271,-1.406407674,0.923770788,-1.150554102,-0.426230015,0.266232577,-0.932014389,-0.678773516,0.155707081,0.338096164,-0.654453737,-0.61549158,-0.368715287,-0.595227228,FALSE,TRUE,TRUE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE
